episode_number,title,full_title,category,youtube_channel_search_url,youtube_url_TO_FILL
,Prolonged Exposure Therapy for PTSD,Prolonged Exposure Therapy for PTSD,Trauma & PTSD,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Prolonged+Exposure+Therapy+for+PTSD,
,Psychiatric Medications 101,Psychiatric Medications 101,Psychopharmacology,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Psychiatric+Medications+101,
,Social Anxiety: More Than Just Shyness,Social Anxiety: More Than Just Shyness,Psychotherapy process — transference & dynamics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Social+Anxiety%3A+More+Than+Just+Shyness,
,Starting Antidepressants,Starting Antidepressants,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Starting+Antidepressants,
,Suicide Risk Assessment - Beyond Screening Tools,Suicide Risk Assessment - Beyond Screening Tools,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Suicide+Risk+Assessment+-+Beyond+Screening+Tools,
,Talking to Families About Suicide Risk,Talking to Families About Suicide Risk,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Talking+to+Families+About+Suicide+Risk,
,Therapy Types: Finding Your Fit,Therapy Types: Finding Your Fit,Psychotherapy process — transference & dynamics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Therapy+Types%3A+Finding+Your+Fit,
,Understanding Narcissistic Personality,Understanding Narcissistic Personality,Personality,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Understanding+Narcissistic+Personality,
,Understanding Schizophrenia: A Family Guide,Understanding Schizophrenia: A Family Guide,Psychosis & schizophrenia,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Understanding+Schizophrenia%3A+A+Family+Guide,
,Your First Month on Antidepressants,Your First Month on Antidepressants,Psychotherapy process — transference & dynamics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Your+First+Month+on+Antidepressants,
